mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K03083.02,CANDIDATE,6.2321233,0.61,5843.0,1.084,1.131,Kepler
Kepler,K03083.03,CANDIDATE,8.2942929,0.65,5843.0,1.084,1.131,Kepler
Kepler,K03086.01,CANDIDATE,174.731515,3.0,5201.0,0.897,0.82,Kepler
Kepler,K03088.02,CANDIDATE,67.8766605,1.92,6018.0,0.975,1.058,Kepler
Kepler,K03089.01,CANDIDATE,0.858546796,0.88,5269.0,0.864,0.843,Kepler
Kepler,K03091.02,CANDIDATE,7.9069765,1.13,6347.0,0.996,1.053,Kepler
Kepler,K03102.01,CANDIDATE,9.3210841,0.61,3773.0,0.35,0.376,Kepler
Kepler,K03104.01,CANDIDATE,1.236866732,1.75,5621.0,0.879,0.921,Kepler
Kepler,K03105.01,CANDIDATE,4.21223579,1.04,5116.0,0.7,0.698,Kepler
Kepler,K03111.01,CANDIDATE,10.76800074,0.92,5874.0,1.096,0.954,Kepler
Kepler,K03111.02,CANDIDATE,4.32848303,0.66,5874.0,1.096,0.954,Kepler
Kepler,K03112.01,CANDIDATE,2.118893997,1.41,5504.0,0.796,0.892,Kepler
Kepler,K03114.01,CANDIDATE,7.49133777,1.01,6177.0,1.71,1.051,Kepler
Kepler,K03117.01,CANDIDATE,6.06664931,0.87,5569.0,0.892,0.963,Kepler
Kepler,K03119.01,CANDIDATE,2.184437698,0.94,3421.0,0.25,0.236,Kepler
Kepler,K03123.01,CANDIDATE,15.2311195,1.94,5836.0,1.186,1.061,Kepler
Kepler,K03128.01,CANDIDATE,21.2360024,2.62,6035.0,2.559,1.328,Kepler
Kepler,K03132.01,CANDIDATE,0.536650319,1.35,6020.0,2.0,1.22,Kepler
Kepler,K03137.01,CANDIDATE,1.332035996,0.85,5376.0,0.73,0.811,Kepler
Kepler,K03142.01,CANDIDATE,27.9430245,2.21,6468.0,1.25,1.313,Kepler
Kepler,K03145.02,CANDIDATE,0.977311489,1.06,4805.0,0.688,0.769,Kepler
Kepler,K03165.01,CANDIDATE,4.11754421,1.02,6263.0,1.726,1.147,Kepler
Kepler,K03168.01,CANDIDATE,56.3479517,1.06,5843.0,1.471,0.963,Kepler
Kepler,K03184.03,CANDIDATE,4.02018903,0.6,5788.0,1.376,1.039,Kepler
Kepler,K03190.01,CANDIDATE,8.95294046,0.86,6047.0,1.207,0.98,Kepler
Kepler,K03196.01,CANDIDATE,4.96061094,0.59,6117.0,1.298,1.079,Kepler
Kepler,K03196.02,CANDIDATE,6.88297756,0.77,6117.0,1.298,1.079,Kepler
Kepler,K03197.01,CANDIDATE,22.599501,0.96,6335.0,1.087,1.017,Kepler
Kepler,K03202.01,CANDIDATE,92.461135,2.86,5132.0,2.648,1.211,Kepler
Kepler,K03203.01,CANDIDATE,96.81647,3.19,6404.0,2.467,1.38,Kepler
Kepler,K03206.01,CANDIDATE,15.1516409,1.38,5780.0,1.0,1.0,Kepler
