mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K05234.01,FALSE POSITIVE,246.12174,7233.87,5780.0,1.0,1.0,Kepler
Kepler,K05235.01,CONFIRMED,159.05846,1.54,6365.0,1.033,1.002,Kepler
Kepler,K05236.01,FALSE POSITIVE,550.86514,2.06,5912.0,1.115,1.056,Kepler
Kepler,K05237.01,CONFIRMED,380.39474,1.84,5772.0,0.745,0.823,Kepler
Kepler,K05239.01,FALSE POSITIVE,350.98474,1.97,5473.0,0.816,0.837,Kepler
Kepler,K05241.01,CONFIRMED,273.6857427,37.15,6033.0,1.65,1.17,Kepler
Kepler,K05242.01,CONFIRMED,28.1117095,1.19,5780.0,1.0,1.0,Kepler
Kepler,K05243.01,CONFIRMED,17.745456135,116.14,6337.0,2.216,1.2,Kepler
Kepler,K05244.01,CONFIRMED,603.3102,2.6,6446.0,1.125,1.134,Kepler
ARCHIVE,PLANET_3197,FALSE POSITIVE,,,,,,UNKNOWN
Kepler,K05247.01,FALSE POSITIVE,282.0309,3.22,6343.0,1.137,1.213,Kepler
Kepler,K05248.01,FALSE POSITIVE,179.25465,1.35,5692.0,0.82,0.77,Kepler
Kepler,K05249.01,CONFIRMED,19.4534296,1.25,6372.0,1.015,1.066,Kepler
Kepler,K05250.01,FALSE POSITIVE,3.72273683,0.52,5898.0,0.819,0.904,Kepler
Kepler,K05251.01,FALSE POSITIVE,3.7229369,0.46,3724.0,0.48,0.492,Kepler
Kepler,K05252.01,CONFIRMED,1.80455062,0.65,6006.0,1.019,0.975,Kepler
Kepler,K05253.01,CONFIRMED,10.1955065,1.02,5182.0,0.666,0.646,Kepler
Kepler,K05254.01,FALSE POSITIVE,232.916142,1.2,5807.0,1.496,1.046,Kepler
Kepler,K05255.01,CONFIRMED,3.66115536,0.81,6356.0,1.308,1.085,Kepler
Kepler,K05256.01,CONFIRMED,588.10504,1.77,6214.0,0.965,0.972,Kepler
Kepler,K05259.01,CONFIRMED,39.5931053,1.22,6046.0,0.972,1.053,Kepler
Kepler,K05261.01,CONFIRMED,100.629443,1.75,6351.0,0.921,1.008,Kepler
Kepler,K05263.01,CONFIRMED,273.169948,2.8,5880.0,1.65,1.077,Kepler
Kepler,K05264.01,CONFIRMED,52.69092296,,,,,Kepler
Kepler,K05265.01,CONFIRMED,425.22927,1.4,3803.0,0.492,0.502,Kepler
Kepler,K05267.01,CONFIRMED,5.1779065,2.93,5921.0,2.589,1.427,Kepler
Kepler,K05269.01,FALSE POSITIVE,371.50631,2.88,5696.0,0.924,0.965,Kepler
Kepler,K05270.01,FALSE POSITIVE,606.91488768,,,,,Kepler
Kepler,K05271.01,FALSE POSITIVE,5.24331899,0.83,5430.0,0.735,0.823,Kepler
Kepler,K05272.01,CONFIRMED,5.2433865,0.75,6011.0,0.902,0.988,Kepler
