mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K03797.01,FALSE POSITIVE,7.50023955,21.06,5849.0,0.919,1.014,Kepler
Kepler,K03798.01,FALSE POSITIVE,2.991885335,3.94,5750.0,0.839,0.747,Kepler
Kepler,K03799.01,FALSE POSITIVE,1.327471395,7.08,5232.0,0.777,0.727,Kepler
Kepler,K03800.01,FALSE POSITIVE,1.247156944,26042.9,4770.0,9.67,1.373,Kepler
Kepler,K03802.01,FALSE POSITIVE,2.119100054,34.34,6292.0,1.078,1.129,Kepler
Kepler,K03803.01,FALSE POSITIVE,14.5417471,163.25,5032.0,5.922,1.41,Kepler
Kepler,K03804.01,FALSE POSITIVE,2.81753381,52.91,6313.0,1.098,0.929,Kepler
Kepler,K03805.01,FALSE POSITIVE,56.6993107,539.16,4727.0,13.547,2.1,Kepler
Kepler,K03806.01,FALSE POSITIVE,161.252247,4.49,5555.0,0.811,0.762,Kepler
Kepler,K03807.01,FALSE POSITIVE,1.801863222,145.36,7479.0,2.324,1.634,Kepler
Kepler,K03808.01,FALSE POSITIVE,54.77145968,34.32,5145.0,3.866,1.594,Kepler
Kepler,K03809.01,FALSE POSITIVE,1.674690886,29.78,6397.0,1.157,1.042,Kepler
Kepler,K03812.01,FALSE POSITIVE,1.78526527,41.19,6505.0,1.228,1.211,Kepler
Kepler,K03813.01,FALSE POSITIVE,4.8591441,6.9,6586.0,1.207,1.226,Kepler
Kepler,K03814.01,FALSE POSITIVE,5.95077813,32.26,5122.0,9.828,2.707,Kepler
Kepler,K03816.01,FALSE POSITIVE,9.44942628,75.22,5092.0,2.664,1.265,Kepler
Kepler,K03817.01,FALSE POSITIVE,0.933489066,48.01,5758.0,1.084,0.869,Kepler
Kepler,K03818.01,FALSE POSITIVE,1.908525084,3.74,9174.0,2.471,2.294,Kepler
Kepler,K03819.01,FALSE POSITIVE,0.867721348,67.0,5510.0,1.276,0.911,Kepler
Kepler,K03820.01,FALSE POSITIVE,161.252567,5.04,5985.0,0.811,0.91,Kepler
Kepler,K03821.01,FALSE POSITIVE,0.569115097,156.15,7174.0,1.705,1.43,Kepler
Kepler,K03822.01,FALSE POSITIVE,2.529073751,25.8,5465.0,0.766,0.857,Kepler
Kepler,K03824.01,FALSE POSITIVE,0.916326699,50.7,6046.0,0.972,1.053,Kepler
Kepler,K03825.01,FALSE POSITIVE,2.845746618,135.99,5641.0,1.776,1.021,Kepler
